what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1284463489954
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1284463489955
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1284463489955
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1284463489956
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1284463489957
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1284463489958
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1284463489958
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1284463489963
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1284463489964
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1284463489964
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1284463489965
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1284463489966
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1284463489967
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1284463489967
os,sysinfo,,,"win32",1284463489971
arch,sysinfo,,,"x86_64",1284463489971
ws,sysinfo,,,"win32",1284463489971
locale,sysinfo,,,"en_AU",1284463489971
processors,sysinfo,,,"2",1284463489971
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284463489971
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1284463489971
java.specification.name,sysinfo,,,"Java Platform API Specification",1284463489971
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284463489971
java.specification.version,sysinfo,,,"1.6",1284463489971
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284463489971
java.version,sysinfo,,,"1.6.0_16",1284463489971
java.vm.info,sysinfo,,,"mixed mode",1284463489971
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1284463489971
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284463489971
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284463489971
java.vm.specification.version,sysinfo,,,"1.0",1284463489971
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284463489971
java.vm.version,sysinfo,,,"14.2-b01",1284463489971
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1284463504340
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1284463504371
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463505778
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.installationDialog",1284463521091
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463570663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463570669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463573634
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1284463573711
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463575151
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463575854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463575896
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463577308
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284463577457
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1284463578036
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1284463578037
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1284463578038
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1284463578039
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1284463578041
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1284463578042
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1284463578043
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1284463578044
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1284463578045
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1284463578051
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1284463578130
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1284463578132
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1284463578135
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1284463578136
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1284463578137
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1284463578138
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1284463578184
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1284463578186
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1284463578188
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1284463578191
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1284463578197
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1284463578200
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1284463578202
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1284463578203
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1284463578204
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.help.ui",1284463578205
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1284463578207
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1284463578208
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1284463578221
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1284463578258
